"Codigo_IBGE"|"Municipio"|"Localizacao"
"4305439"|"CHUI"|"SUDESTE RIO-GRANDENSE"
"2301901"|"BARBALHA"|"SUL CEARENSE"
"2301950"|"BARREIRA"|"NORTE CEARENSE"
"1100080"|"COSTA MARQUES"|"MADEIRA-GUAPORE"
"1100205"|"PORTO VELHO"|"MADEIRA-GUAPORE"
"1100809"|"CANDEIAS DO JAMARI"|"MADEIRA-GUAPORE"
"2304285"|"EUSEBIO"|"METROPOLITANA DE FORTALEZ"
"2910701"|"EUCLIDES DA CUNHA"|"NORDESTE BAIANO"
"1101435"|"NOVA UNIAO"|"LESTE RONDONIENSE"
"4312005"|"MARIANO MORO"|"NOROESTE RIO-GRANDENSE"
"1200302"|"FEIJO"|"VALE DO JURUA"
"2912608"|"IBIQUERA"|"CENTRO NORTE BAIANO"
"3556503"|"VARZEA PAULISTA"|"MACRO METROPOLITANA PAULI"
"3556800"|"VIRADOURO"|"RIBEIRAO PRETO"
"1300201"|"ATALAIA DO NORTE"|"SUDOESTE AMAZONENSE"
"1300409"|"BARCELOS"|"NORTE AMAZONENSE"
"1300805"|"BORBA"|"SUL AMAZONENSE"
"1300904"|"CANUTAMA"|"SUL AMAZONENSE"
"1301209"|"COARI"|"CENTRO AMAZONENSE"
"1301704"|"HUMAITA"|"SUL AMAZONENSE"
"1302306"|"JUTAI"|"SUDOESTE AMAZONENSE"
"1302405"|"LABREA"|"SUL AMAZONENSE"
"2916906"|"ITIRUÇU"|"CENTRO SUL BAIANO"
"1302900"|"MAUES"|"CENTRO AMAZONENSE"
"2917334"|"IUIU"|"CENTRO SUL BAIANO"
"1304104"|"TAPAUA"|"SUL AMAZONENSE"
"1304302"|"URUCARA"|"CENTRO AMAZONENSE"
"1400027"|"AMAJARI"|"NORTE DE RORAIMA"
"1400472"|"RORAINOPOLIS"|"SUL DE RORAIMA"
"3170404"|"UNAI"|"NOROESTE DE MINAS"
"4316477"|"SALVADOR DAS MISSOES"|"NOROESTE RIO-GRANDENSE"
"3170578"|"VARGEM ALEGRE"|"VALE DO RIO DOCE"
"1500602"|"ALTAMIRA"|"SUDOESTE PARAENSE"
"1500859"|"ANAPU"|"SUDOESTE PARAENSE"
"2400307"|"AFONSO BEZERRA"|"CENTRAL POTIGUAR"
"2404507"|"GUAMARE"|"CENTRAL POTIGUAR"
"2405702"|"JARDIM DO SERIDO"|"CENTRAL POTIGUAR"
"1505031"|"NOVO PROGRESSO"|"SUDOESTE PARAENSE"
"1505106"|"OBIDOS"|"BAIXO AMAZONAS"
"1505437"|"OURILANDIA DO NORTE"|"SUDESTE PARAENSE"
"1505502"|"PARAGOMINAS"|"SUDESTE PARAENSE"
"2407252"|"MAJOR SALES"|"OESTE POTIGUAR"
"2407609"|"MESSIAS TARGINO"|"OESTE POTIGUAR"
"2927101"|"RODELAS"|"VALE SAO-FRANCISCANO DA B"
"2408409"|"OLHO-D'AGUA DO BORGES"|"OESTE POTIGUAR"
"2410900"|"RIACHUELO"|"AGRESTE POTIGUAR"
"4323804"|"XANGRI-LA"|"METROPOLITANA DE PORTO AL"
"4300002"|"LAGOA DOS PATOS"|"LAGOA DOS PATOS"
"5001102"|"AQUIDAUANA"|"PANTANAL SUL MATO-GROSSEN"
"2932457"|"UMBURANAS"|"CENTRO NORTE BAIANO"
"1600204"|"CALÇOENE"|"NORTE DO AMAPA"
"1600279"|"LARANJAL DO JARI"|"SUL DO AMAPA"
"2933000"|"VALENTE"|"NORDESTE BAIANO"
"1600501"|"OIAPOQUE"|"NORTE DO AMAPA"
"5005806"|"NIOAQUE"|"SUDOESTE DE MATO GROSSO D"
"3101631"|"ALFREDO VASCONCELOS"|"CAMPO DAS VERTENTES"
"5006903"|"PORTO MURTINHO"|"PANTANAL SUL MATO-GROSSEN"
"2502052"|"BERNARDINO BATISTA"|"SERTAO PARAIBANO"
"2502706"|"BORBOREMA"|"AGRESTE PARAIBANO"
"3104403"|"ARGIRITA"|"ZONA DA MATA"
"5102702"|"CANARANA"|"NORDESTE MATO-GROSSENSE"
"5103304"|"COMODORO"|"NORTE MATO-GROSSENSE"
"5103700"|"FELIZ NATAL"|"NORTE MATO-GROSSENSE"
"2505907"|"EMAS"|"SERTAO PARAIBANO"
"5105150"|"JUINA"|"NORTE MATO-GROSSENSE"
"2507309"|"JACARAU"|"MATA PARAIBANA"
"2507408"|"JERICO"|"SERTAO PARAIBANO"
"4121802"|"RIBEIRAO CLARO"|"NORTE PIONEIRO PARANAENSE"
"3109253"|"BUGRE"|"VALE DO RIO DOCE"
"3500600"|"AGUAS DE SAO PEDRO"|"PIRACICABA"
"2509396"|"MATUREIA"|"SERTAO PARAIBANO"
"2509503"|"MONTADAS"|"AGRESTE PARAIBANO"
"5107065"|"QUERENCIA"|"NORDESTE MATO-GROSSENSE"
"3503406"|"AREALVA"|"BAURU"
"2100436"|"ALTO ALEGRE DO MARANHAO"|"LESTE MARANHENSE"
"2511608"|"PILOES"|"AGRESTE PARAIBANO"
"5107859"|"SAO FELIX DO ARAGUAIA"|"NORDESTE MATO-GROSSENSE"
"2512077"|"POÇO DE JOSE DE MOURA"|"SERTAO PARAIBANO"
"3504701"|"BALBINOS"|"BAURU"
"2512721"|"PEDRO REGIS"|"MATA PARAIBANA"
"2512762"|"RIACHAO DO POÇO"|"MATA PARAIBANA"
"3505708"|"BARUERI"|"METROPOLITANA DE SAO PAUL"
"4128302"|"UNIFLOR"|"NORTE CENTRAL PARANAENSE"
"5204409"|"CAIAPONIA"|"SUL GOIANO"
"2600807"|"ALTINHO"|"AGRESTE PERNAMBUCANO"
"2602704"|"BUENOS AIRES"|"MATA PERNAMBUCANA"
"3515194"|"ESPIRITO SANTO DO TURVO"|"ASSIS"
"3516101"|"FLORINIA"|"ASSIS"
"2109304"|"PRESIDENTE VARGAS"|"NORTE MARANHENSE"
"2606705"|"IBIRAJUBA"|"AGRESTE PERNAMBUCANO"
"2110039"|"SANTA LUZIA DO PARUA"|"OESTE MARANHENSE"
"2607752"|"ITAPISSUMA"|"METROPOLITANA DE RECIFE"
"2608057"|"JATOBA"|"SAO FRANCISCO PERNAMBUCAN"
"3519253"|"IARAS"|"BAURU"
"2608800"|"LAJEDO"|"AGRESTE PERNAMBUCANO"
"5215801"|"PALMELO"|"SUL GOIANO"
"4209508"|"LAURENTINO"|"VALE DO ITAJAI"
"2112209"|"TIMON"|"LESTE MARANHENSE"
"2611507"|"QUIPAPA"|"MATA PERNAMBUCANA"
"4210555"|"MAREMA"|"OESTE CATARINENSE"
"2612703"|"SANTA MARIA DO CAMBUCA"|"AGRESTE PERNAMBUCANO"
"3524501"|"JACI"|"SAO JOSE DO RIO PRETO"
"4213153"|"PLANALTO ALEGRE"|"OESTE CATARINENSE"
"2616183"|"VERTENTE DO LERIO"|"AGRESTE PERNAMBUCANO"
"2406155"|"JUNDIA"|"AGRESTE POTIGUAR"
"3136652"|"JUATUBA"|"METROPOLITANA DE BELO HOR"
"5103254"|"COLNIZA"|"NORTE MATO-GROSSENSE"
"2707701"|"RIO LARGO"|"LESTE ALAGOANO"
"2802304"|"FREI PAULO"|"SERTAO SERGIPANO"
"3146602"|"PAIVA"|"ZONA DA MATA"
"2206357"|"MILTON BRANDAO"|"CENTRO-NORTE PIAUIENSE"
"2901106"|"AMELIA RODRIGUES"|"METROPOLITANA DE SALVADOR"
"3544251"|"ROSANA"|"PRESIDENTE PRUDENTE"
"2209955"|"SAO JOAO DA VARJOTA"|"SUDESTE PIAUIENSE"
"2903953"|"BOM JESUS DA SERRA"|"CENTRO SUL BAIANO"
"2211506"|"VERA MENDES"|"SUDESTE PIAUIENSE"
"2906600"|"CANDIBA"|"CENTRO SUL BAIANO"
"1507805"|"SENADOR JOSE PORFIRIO"|"SUDOESTE PARAENSE"
"3303807"|"PARATI"|"SUL FLUMINENSE"
"3304904"|"SAO GONÇALO"|"METROPOLITANA DO RIO DE J"
"3551306"|"SEBASTIANOPOLIS DO SUL"|"SAO JOSE DO RIO PRETO"
"3555356"|"UBARANA"|"SAO JOSE DO RIO PRETO"
"2907558"|"CATURAMA"|"CENTRO SUL BAIANO"
"2402808"|"CORONEL EZEQUIEL"|"AGRESTE POTIGUAR"
"4204350"|"CORDILHEIRA ALTA"|"OESTE CATARINENSE"
"1100106"|"GUAJARA-MIRIM"|"MADEIRA-GUAPORE"
"3551702"|"SERTAOZINHO"|"RIBEIRAO PRETO"
"3552304"|"SUD MENNUCCI"|"ARACATUBA"
"1100320"|"SAO MIGUEL DO GUAPORE"|"LESTE RONDONIENSE"
